State/territory,Calendar year,School sector,School level,MeanRatio
New South Wales,2008,Catholic,Secondary,12.9
New South Wales,2008,Government,All,14.3
New South Wales,2008,Government,Primary,15.9
New South Wales,2008,Government,Secondary,12.4
New South Wales,2008,Independent,All,11.7
New South Wales,2008,Independent,Primary,14.4
New South Wales,2008,Independent,Secondary,10.0
New South Wales,2009,All,All,14.1
New South Wales,2009,All,Primary,16.1
New South Wales,2009,All,Secondary,12.2
New South Wales,2009,All non-government,All,13.8
New South Wales,2009,All non-government,Primary,16.8
New South Wales,2009,All non-government,Secondary,11.8
New South Wales,2009,Catholic,All,15.3
New South Wales,2009,Catholic,Primary,18.3
New South Wales,2009,Catholic,Secondary,13.0
New South Wales,2009,Government,All,14.2
New South Wales,2009,Government,Primary,15.9
New South Wales,2009,Government,Secondary,12.4
New South Wales,2009,Independent,All,11.8
New South Wales,2009,Independent,Primary,14.5
New South Wales,2009,Independent,Secondary,10.2
New South Wales,2010,All,All,14.1
New South Wales,2010,All,Primary,16.0
New South Wales,2010,All,Secondary,12.3
New South Wales,2010,All non-government,All,13.9
New South Wales,2010,All non-government,Primary,16.7
New South Wales,2010,All non-government,Secondary,11.9
New South Wales,2010,Catholic,All,15.3
New South Wales,2010,Catholic,Primary,18.3
New South Wales,2010,Catholic,Secondary,13.1
New South Wales,2010,Government,All,14.2
New South Wales,2010,Government,Primary,15.7
New South Wales,2010,Government,Secondary,12.5
New South Wales,2010,Independent,All,11.9
New South Wales,2010,Independent,Primary,14.4
New South Wales,2010,Independent,Secondary,10.3
New South Wales,2011,All,All,14.0
New South Wales,2011,All,Primary,15.9
New South Wales,2011,All,Secondary,12.2
New South Wales,2011,All non-government,All,13.8
New South Wales,2011,All non-government,Primary,16.6
New South Wales,2011,All non-government,Secondary,11.8
New South Wales,2011,Catholic,All,15.3
New South Wales,2011,Catholic,Primary,18.2
New South Wales,2011,Catholic,Secondary,13.0
New South Wales,2011,Government,All,14.1
New South Wales,2011,Government,Primary,15.5
New South Wales,2011,Government,Secondary,12.5
New South Wales,2011,Independent,All,11.8
New South Wales,2011,Independent,Primary,14.2
New South Wales,2011,Independent,Secondary,10.3
New South Wales,2012,All,All,14.0
New South Wales,2012,All,Primary,15.8
New South Wales,2012,All,Secondary,12.2
New South Wales,2012,All non-government,All,13.7
New South Wales,2012,All non-government,Primary,16.5
New South Wales,2012,All non-government,Secondary,11.8
New South Wales,2012,Catholic,All,15.2
New South Wales,2012,Catholic,Primary,18.2
New South Wales,2012,Catholic,Secondary,13.0
New South Wales,2012,Government,All,14.1
New South Wales,2012,Government,Primary,15.5
New South Wales,2012,Government,Secondary,12.4
New South Wales,2012,Independent,All,11.8
New South Wales,2012,Independent,Primary,14.0
New South Wales,2012,Independent,Secondary,10.3
New South Wales,2013,All,All,13.9
New South Wales,2013,All,Primary,15.7
New South Wales,2013,All,Secondary,12.1
New South Wales,2013,All non-government,All,13.7
New South Wales,2013,All non-government,Primary,16.4
New South Wales,2013,All non-government,Secondary,11.8
New South Wales,2013,Catholic,All,15.1
New South Wales,2013,Catholic,Primary,17.9
New South Wales,2013,Catholic,Secondary,13.0
New South Wales,2013,Government,All,14.0
New South Wales,2013,Government,Primary,15.5
New South Wales,2013,Government,Secondary,12.3
New South Wales,2013,Independent,All,11.8
New South Wales,2013,Independent,Primary,14.2
New South Wales,2013,Independent,Secondary,10.3
New South Wales,2014,All,All,14.0
New South Wales,2014,All,Primary,15.9
New South Wales,2014,All,Secondary,12.2
New South Wales,2014,All non-government,All,13.8
New South Wales,2014,All non-government,Primary,16.6
New South Wales,2014,All non-government,Secondary,11.8
New South Wales,2014,Catholic,All,15.3
New South Wales,2014,Catholic,Primary,18.2
New South Wales,2014,Catholic,Secondary,13.1
New South Wales,2014,Government,All,14.2
New South Wales,2014,Government,Primary,15.6
New South Wales,2014,Government,Secondary,12.4
New South Wales,2014,Independent,All,11.8
New South Wales,2014,Independent,Primary,14.3
New South Wales,2014,Independent,Secondary,10.3
New South Wales,2015,All,All,14.0
New South Wales,2015,All,Primary,15.9
New South Wales,2015,All,Secondary,12.1
New South Wales,2015,All non-government,All,13.6
New South Wales,2015,All non-government,Primary,16.3
New South Wales,2015,All non-government,Secondary,11.7
New South Wales,2015,Catholic,All,15.1
New South Wales,2015,Catholic,Primary,17.9
New South Wales,2015,Catholic,Secondary,13.0
New South Wales,2015,Government,All,14.3
New South Wales,2015,Government,Primary,15.8
New South Wales,2015,Government,Secondary,12.5
New South Wales,2015,Independent,All,11.7
New South Wales,2015,Independent,Primary,14.0
New South Wales,2015,Independent,Secondary,10.2
New South Wales,2016,All,All,14.0
New South Wales,2016,All,Primary,15.8
New South Wales,2016,All,Secondary,12.1
New South Wales,2016,All non-government,All,13.4
New South Wales,2016,All non-government,Primary,16.1
New South Wales,2016,All non-government,Secondary,11.5
New South Wales,2016,Catholic,All,14.8
New South Wales,2016,Catholic,Primary,17.6
New South Wales,2016,Catholic,Secondary,12.7
New South Wales,2016,Government,All,14.3
New South Wales,2016,Government,Primary,15.6
New South Wales,2016,Government,Secondary,12.5
New South Wales,2016,Independent,All,11.6
New South Wales,2016,Independent,Primary,14.0
New South Wales,2016,Independent,Secondary,10.1
New South Wales,2017,All,All,13.9
New South Wales,2017,All,Primary,15.8
New South Wales,2017,All,Secondary,11.9
New South Wales,2017,All non-government,All,13.2
New South Wales,2017,All non-government,Primary,15.8
New South Wales,2017,All non-government,Secondary,11.4
New South Wales,2017,Catholic,All,14.6
New South Wales,2017,Catholic,Primary,17.2
New South Wales,2017,Catholic,Secondary,12.6
New South Wales,2017,Government,All,14.2
New South Wales,2017,Government,Primary,15.8
